City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,72,90,8.05,overcast clouds
181,Walvis Bay,NA,-22.9575,14.5053,64.09,94,100,11.5,overcast clouds
182,Sosnovoborsk,RU,56.1325,93.3589,2.75,82,69,0.34,broken clouds
183,Vadso,NO,70.0744,29.7487,2.28,82,84,9.28,broken clouds
184,Carballo,ES,43.213,-8.691,44.87,64,55,3.89,broken clouds
185,Constitucion,CL,-35.3333,-72.4167,56.8,93,49,6.73,scattered clouds
186,Mahajanga,MG,-15.7167,46.3167,87.82,62,20,4.61,few clouds
187,Mehamn,NO,71.0357,27.8492,19.29,94,80,8.25,broken clouds
188,Castro,BR,-24.7911,-50.0119,61.16,99,100,4.72,overcast clouds
189,Torri Di Quartesolo,IT,45.525,11.6123,35.47,84,29,2.75,scattered clouds
190,Antalaha,MG,-14.9003,50.2788,84.4,55,78,4.83,broken clouds
191,Harper,LR,4.375,-7.7169,77.0,88,30,2.68,scattered clouds
192,Adrar,MR,20.5022,-10.0711,67.28,15,98,11.59,overcast clouds
193,Ordu,TR,40.9086,37.6845,25.3,76,100,7.4,overcast clouds
194,Beohari,IN,24.05,81.3833,72.72,21,0,10.18,clear sky
195,Padang,ID,-0.9492,100.3543,87.85,73,90,7.65,moderate rain
196,Kabalo,CD,-6.05,26.9167,71.24,95,100,3.42,overcast clouds
197,Knysna,ZA,-34.0363,23.0471,68.38,68,3,2.86,clear sky
198,Grindavik,IS,63.8424,-22.4338,36.07,87,75,18.41,broken clouds
199,Amapa,BR,1.0,-52.0,69.55,100,100,1.19,overcast clouds
200,The Valley,AI,18.217,-63.0578,76.1,73,2,9.55,clear sky
201,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,85,90,17.27,light snow
202,Lucea,JM,18.451,-78.1736,75.06,81,23,21.36,few clouds
203,Kidal,ML,18.4411,1.4078,61.97,17,6,13.06,clear sky
204,Soverato,IT,38.685,16.5499,46.35,69,17,9.82,few clouds
205,Krasnoselkup,RU,65.7,82.4667,-5.98,97,100,8.08,overcast clouds
206,Samana,DO,19.2056,-69.3369,70.47,78,5,3.0,clear sky
207,Vila Velha,BR,-20.3297,-40.2925,76.95,92,0,2.3,clear sky
208,Isla Mujeres,MX,21.2311,-86.731,59.16,63,96,11.74,overcast clouds
209,Nanortalik,GL,60.1432,-45.2371,14.59,87,100,12.41,light snow
210,Nueva Guinea,NI,11.6876,-84.4562,65.17,94,41,5.01,scattered clouds
211,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.22,91,100,3.94,overcast clouds
212,Huambo,AO,-12.7761,15.7392,60.4,94,100,3.04,overcast clouds
213,Takoradi,GH,4.8845,-1.7554,76.66,91,33,2.89,scattered clouds
214,Jasidih,IN,24.5167,86.65,66.56,34,0,11.07,clear sky
215,Khairpur,PK,27.5295,68.7617,64.4,19,2,2.95,clear sky
216,San Cristobal,VE,7.7669,-72.225,63.68,87,81,3.44,broken clouds
217,Distraccion,CO,10.8969,-72.8861,68.07,89,79,1.57,broken clouds
218,Oxapampa,PE,-10.5775,-75.4017,58.21,97,100,2.28,light rain
219,Micheweni,TZ,-4.9667,39.8333,81.07,73,99,11.92,overcast clouds
220,Ivanava,BY,52.1451,25.5365,34.07,94,98,21.03,overcast clouds
221,Primero De Marzo,PY,-25.153,-56.928,71.51,73,13,2.95,few clouds
222,Birjand,IR,32.8663,59.2211,48.67,23,20,4.61,few clouds
223,Ullapool,GB,57.8987,-5.1604,39.34,82,100,4.09,overcast clouds
224,Torbay,CA,47.6666,-52.7314,49.28,97,100,33.38,moderate rain
225,Suluq,LY,31.6682,20.2521,51.35,64,70,20.33,broken clouds
226,Angoche,MZ,-16.2325,39.9086,80.31,76,54,2.71,broken clouds
227,Muhos,FI,64.808,25.9931,26.38,96,100,5.68,light snow
228,Luanda,AO,-8.8368,13.2343,77.67,82,100,4.52,overcast clouds
229,Oktyabrskoye,RU,43.0645,44.7417,21.34,80,75,4.47,broken clouds
230,Hanko,FI,59.8333,22.95,33.06,98,100,15.23,light snow
231,Harstad,NO,68.799,16.5293,20.43,75,100,5.95,overcast clouds
232,Aranzazu,CO,5.2712,-75.4904,57.31,96,100,1.07,overcast clouds
233,Santiago Del Estero,AR,-27.7951,-64.2615,69.48,49,0,4.47,clear sky
234,Finsterwalde,DE,51.6333,13.7167,42.31,74,97,29.26,overcast clouds
235,Batangafo,CF,7.3008,18.2833,65.73,28,98,3.87,overcast clouds
236,Ostrovnoy,RU,68.0531,39.5131,19.4,92,100,10.22,light snow
237,Viedma,AR,-40.8135,-62.9967,78.03,44,71,14.43,broken clouds
238,Ribeira Brava,PT,32.65,-17.0667,61.43,34,1,7.78,clear sky
239,Tabuk,PH,17.4189,121.4443,72.64,93,72,11.16,light rain
240,Jarvakandi,EE,58.7789,24.8258,33.39,99,100,8.93,light snow
241,Mocuba,MZ,-16.8392,36.9856,77.22,86,26,2.57,scattered clouds
242,Rakitnoye,RU,50.8389,35.8515,28.65,93,99,15.7,light snow
243,Halifax,CA,44.6453,-63.5724,39.99,93,91,8.01,overcast clouds
244,Campos Belos,BR,-13.0367,-46.7717,67.17,96,100,2.59,overcast clouds
245,Inhambane,MZ,-23.865,35.3833,82.38,65,40,7.38,scattered clouds
246,Sarankhola,BD,22.3082,89.7897,75.09,27,0,6.71,clear sky
247,Ajdabiya,LY,30.7554,20.2263,52.92,55,58,18.25,broken clouds
248,Carnaiba,BR,-8.7,-37.6667,70.66,75,100,2.53,overcast clouds
249,Coihaique,CL,-45.5752,-72.0662,46.35,76,100,6.91,light rain
250,Mehriz,IR,31.5917,54.4318,39.7,38,6,1.34,clear sky
251,Iqaluit,CA,63.7506,-68.5145,-15.07,70,20,3.44,few clouds
252,Gashua,NG,12.871,11.0482,55.49,21,52,9.89,broken clouds
253,Murmashi,RU,68.8154,32.8115,-1.79,84,75,0.0,light shower snow
254,Narsaq,GL,60.9167,-46.05,8.82,81,84,5.26,broken clouds
255,Kargopol,RU,61.5071,38.9456,8.42,96,100,6.11,overcast clouds
256,Atar,MR,20.5169,-13.0499,72.41,20,99,7.96,overcast clouds
257,Fomboni,KM,-12.28,43.7425,82.18,67,0,5.66,clear sky
258,Mineros,BO,-17.1167,-63.2333,70.36,88,10,2.68,clear sky
259,Doha,QA,25.2867,51.5333,64.38,63,0,8.05,clear sky
260,Desbiens,CA,48.4178,-71.9495,-3.35,91,100,12.95,overcast clouds
261,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,70.63,97,100,3.31,overcast clouds
262,Kromy,RU,52.6876,35.7667,21.83,92,100,16.8,light snow
263,Olafsvik,IS,64.8945,-23.7142,36.48,76,100,26.17,overcast clouds
264,Tres Lagoas,BR,-20.7511,-51.6783,70.02,96,95,5.88,overcast clouds
265,Dakar,SN,14.6937,-17.4441,68.88,74,100,20.85,overcast clouds
266,Neyvo-Shaytanskiy,RU,57.7286,61.2496,4.05,96,100,0.98,overcast clouds
267,Lahij,YE,13.1667,44.5833,69.94,76,69,4.0,broken clouds
268,Parga,GR,39.2831,20.3964,39.2,58,5,4.68,clear sky
269,Aasiaat,GL,68.7098,-52.8699,3.33,93,100,17.63,light snow
270,Inyonga,TZ,-6.7167,32.0667,66.13,91,93,1.57,overcast clouds
271,Dingle,PH,10.9995,122.6711,87.96,62,21,2.01,few clouds
272,Karasjok,NO,69.4719,25.5112,14.11,100,96,2.62,overcast clouds
273,Monroe,US,43.1501,-77.6831,7.95,69,77,3.0,broken clouds
274,Valenca,BR,-13.3703,-39.0731,72.41,94,99,2.28,overcast clouds
275,Igurubi,TZ,-4.0,33.7,68.58,85,100,5.82,overcast clouds
276,Rio Cuarto,AR,-33.1307,-64.3499,65.68,70,0,9.71,clear sky
277,Pangnirtung,CA,66.1451,-65.7125,-9.4,59,100,10.36,light snow
278,Jaque,PA,7.5175,-78.1703,74.61,85,38,6.64,scattered clouds
279,Cadillac,US,44.2519,-85.4012,17.51,86,100,8.05,overcast clouds
280,Manta,EC,-0.95,-80.7333,74.88,90,100,7.43,light rain
281,Qaqortoq,GL,60.7167,-46.0333,9.1,86,94,5.7,overcast clouds
282,Ostersund,SE,63.1792,14.6357,27.05,100,75,10.36,broken clouds
283,Aksay,RU,47.26,39.87,32.36,98,61,13.0,broken clouds
284,Toropets,RU,56.4978,31.6353,24.82,94,100,14.99,snow
285,Vardo,NO,70.3705,31.1107,26.29,68,92,5.68,overcast clouds
286,Hagerstown,US,39.6418,-77.72,18.81,57,0,5.01,clear sky
287,Kobylka,PL,52.3395,21.1959,41.11,80,90,25.99,overcast clouds
